1000 , 0.625621 , 0.374379 , 0.57601 , 0.42399
1001 , 0.627001 , 0.372999 , 0.577455 , 0.422545
1002 , 0.628288 , 0.371712 , 0.578802 , 0.421198
1003 , 0.629481 , 0.370519 , 0.580053 , 0.419947
1004 , 0.630582 , 0.369418 , 0.581207 , 0.418793
1005 , 0.631591 , 0.368409 , 0.582265 , 0.417735
1006 , 0.632509 , 0.367491 , 0.583229 , 0.416771
1007 , 0.633337 , 0.366663 , 0.584098 , 0.415902
1008 , 0.634075 , 0.365925 , 0.584873 , 0.415127
1009 , 0.634724 , 0.365276 , 0.585555 , 0.414445
1010 , 0.635284 , 0.364716 , 0.586143 , 0.413857
1011 , 0.635755 , 0.364245 , 0.586638 , 0.413362
1012 , 0.636139 , 0.363861 , 0.587041 , 0.412959
1013 , 0.636434 , 0.363566 , 0.587352 , 0.412648
1014 , 0.636642 , 0.363358 , 0.58757 , 0.41243
1015 , 0.636762 , 0.363238 , 0.587697 , 0.412303
1016 , 0.636795 , 0.363205 , 0.587731 , 0.412269
1017 , 0.63674 , 0.36326 , 0.587674 , 0.412326
1018 , 0.636598 , 0.363402 , 0.587524 , 0.412476
1019 , 0.636368 , 0.363632 , 0.587282 , 0.412718
1020 , 0.63605 , 0.36395 , 0.586949 , 0.413051
1021 , 0.635645 , 0.364355 , 0.586522 , 0.413478
1022 , 0.635151 , 0.364849 , 0.586003 , 0.413997
1023 , 0.634569 , 0.365431 , 0.585392 , 0.414608
1024 , 0.633897 , 0.366103 , 0.584686 , 0.415314
1025 , 0.633137 , 0.366863 , 0.583888 , 0.416112
1026 , 0.632286 , 0.367714 , 0.582995 , 0.417005
1027 , 0.631345 , 0.368655 , 0.582007 , 0.417993
1028 , 0.630313 , 0.369687 , 0.580925 , 0.419075
1029 , 0.629189 , 0.370811 , 0.579746 , 0.420254
1030 , 0.627972 , 0.372028 , 0.578472 , 0.421528
1031 , 0.626662 , 0.373338 , 0.5771 , 0.4229
1032 , 0.625258 , 0.374742 , 0.57563 , 0.42437
1033 , 0.623759 , 0.376241 , 0.574062 , 0.425938
1034 , 0.622164 , 0.377836 , 0.572394 , 0.427606
1035 , 0.620471 , 0.379529 , 0.570625 , 0.429375
1036 , 0.618681 , 0.381319 , 0.568756 , 0.431244
1037 , 0.61679 , 0.38321 , 0.566784 , 0.433216
1038 , 0.6148 , 0.3852 , 0.564708 , 0.435292
1039 , 0.612707 , 0.387293 , 0.562528 , 0.437472
1040 , 0.610511 , 0.389489 , 0.560243 , 0.439757
1041 , 0.60821 , 0.39179 , 0.557851 , 0.442149
1042 , 0.605803 , 0.394197 , 0.55535 , 0.44465
1043 , 0.603288 , 0.396712 , 0.552741 , 0.447259
1044 , 0.600664 , 0.399336 , 0.550021 , 0.449979
1045 , 0.59793 , 0.40207 , 0.547189 , 0.452811
1046 , 0.595082 , 0.404918 , 0.544243 , 0.455757
1047 , 0.592121 , 0.407879 , 0.541183 , 0.458817
1048 , 0.589043 , 0.410957 , 0.538007 , 0.461993
1049 , 0.585847 , 0.414153 , 0.534713 , 0.465287
1050 , 0.582531 , 0.417469 , 0.531301 , 0.468699
1051 , 0.579094 , 0.420906 , 0.527767 , 0.472233
1052 , 0.575532 , 0.424468 , 0.524111 , 0.475889
1053 , 0.571845 , 0.428155 , 0.520332 , 0.479668
1054 , 0.56803 , 0.43197 , 0.516428 , 0.483572
1055 , 0.564084 , 0.435916 , 0.512396 , 0.487604
1056 , 0.560007 , 0.439993 , 0.508236 , 0.491764
1057 , 0.555795 , 0.444205 , 0.503946 , 0.496054
1058 , 0.551447 , 0.448553 , 0.499525 , 0.500475
1059 , 0.546959 , 0.453041 , 0.494971 , 0.505029
1060 , 0.542331 , 0.457669 , 0.490282 , 0.509718
1061 , 0.53756 , 0.46244 , 0.485457 , 0.514543
1062 , 0.532643 , 0.467357 , 0.480495 , 0.519505
1063 , 0.527579 , 0.472421 , 0.475394 , 0.524606
1064 , 0.522365 , 0.477635 , 0.470153 , 0.529847
1065 , 0.517 , 0.483 , 0.46477 , 0.53523
1066 , 0.51148 , 0.48852 , 0.459245 , 0.540755
1067 , 0.505805 , 0.494195 , 0.453577 , 0.546423
1068 , 0.499971 , 0.500029 , 0.447764 , 0.552236
1069 , 0.493978 , 0.506022 , 0.441806 , 0.558194
1070 , 0.487824 , 0.512176 , 0.435703 , 0.564297
1071 , 0.481506 , 0.518494 , 0.429452 , 0.570548
1072 , 0.475025 , 0.524975 , 0.423056 , 0.576944
1073 , 0.468377 , 0.531623 , 0.416513 , 0.583487
1074 , 0.461562 , 0.538438 , 0.409823 , 0.590177
1075 , 0.45458 , 0.54542 , 0.402987 , 0.597013
1076 , 0.44743 , 0.55257 , 0.396006 , 0.603994
1077 , 0.440111 , 0.559889 , 0.38888 , 0.61112
1078 , 0.432623 , 0.567377 , 0.381611 , 0.618389
1079 , 0.424967 , 0.575033 , 0.3742 , 0.6258
1080 , 0.417142 , 0.582858 , 0.36665 , 0.63335
1081 , 0.409152 , 0.590848 , 0.358962 , 0.641038
1082 , 0.400996 , 0.599004 , 0.35114 , 0.64886
1083 , 0.392677 , 0.607323 , 0.343188 , 0.656812
1084 , 0.384197 , 0.615803 , 0.335107 , 0.664893
1085 , 0.37556 , 0.62444 , 0.326904 , 0.673096
1086 , 0.366769 , 0.633231 , 0.318583 , 0.681417
1087 , 0.357828 , 0.642172 , 0.310149 , 0.689851
1088 , 0.348743 , 0.651257 , 0.301609 , 0.698391
1089 , 0.33952 , 0.66048 , 0.292969 , 0.707031
