1000 , 0.639645 , 0.360355 , 0.590818 , 0.409182
1001 , 0.640226 , 0.359774 , 0.591429 , 0.408571
1002 , 0.640717 , 0.359283 , 0.591947 , 0.408053
1003 , 0.641119 , 0.358881 , 0.59237 , 0.40763
1004 , 0.641432 , 0.358568 , 0.592699 , 0.407301
1005 , 0.641656 , 0.358344 , 0.592935 , 0.407065
1006 , 0.641791 , 0.358209 , 0.593078 , 0.406922
1007 , 0.641838 , 0.358162 , 0.593128 , 0.406872
1008 , 0.641797 , 0.358203 , 0.593084 , 0.406916
1009 , 0.641667 , 0.358333 , 0.592947 , 0.407053
1010 , 0.641448 , 0.358552 , 0.592717 , 0.407283
1011 , 0.641141 , 0.358859 , 0.592393 , 0.407607
1012 , 0.640744 , 0.359256 , 0.591975 , 0.408025
1013 , 0.640258 , 0.359742 , 0.591464 , 0.408536
1014 , 0.639683 , 0.360317 , 0.590858 , 0.409142
1015 , 0.639018 , 0.360982 , 0.590158 , 0.409842
1016 , 0.638262 , 0.361738 , 0.589362 , 0.410638
1017 , 0.637415 , 0.362585 , 0.588472 , 0.411528
1018 , 0.636476 , 0.363524 , 0.587485 , 0.412515
1019 , 0.635446 , 0.364554 , 0.586402 , 0.413598
1020 , 0.634322 , 0.365678 , 0.585222 , 0.414778
1021 , 0.633105 , 0.366895 , 0.583943 , 0.416057
1022 , 0.631793 , 0.368207 , 0.582567 , 0.417433
1023 , 0.630386 , 0.369614 , 0.581091 , 0.418909
1024 , 0.628882 , 0.371118 , 0.579514 , 0.420486
1025 , 0.627281 , 0.372719 , 0.577837 , 0.422163
1026 , 0.625581 , 0.374419 , 0.576058 , 0.423942
1027 , 0.623782 , 0.376218 , 0.574175 , 0.425825
1028 , 0.621882 , 0.378118 , 0.572189 , 0.427811
1029 , 0.61988 , 0.38012 , 0.570097 , 0.429903
1030 , 0.617774 , 0.382226 , 0.567899 , 0.432101
1031 , 0.615563 , 0.384437 , 0.565594 , 0.434406
1032 , 0.613246 , 0.386754 , 0.56318 , 0.43682
1033 , 0.610821 , 0.389179 , 0.560655 , 0.439345
1034 , 0.608286 , 0.391714 , 0.55802 , 0.44198
