1.52 , 1 , 2.00704 , 1.44464 , 0.0343452 , 0.668442
1.5235 , 1 , 2.00704 , 1.44459 , 0.0340989 , 0.668631
1.527 , 1 , 2.00704 , 1.44455 , 0.0338788 , 0.668803
1.5305 , 1 , 2.00704 , 1.44451 , 0.0336848 , 0.668957
1.534 , 1 , 2.00704 , 1.44447 , 0.0335165 , 0.669092
1.5375 , 1 , 2.00704 , 1.44443 , 0.0333736 , 0.669211
1.541 , 1 , 2.00704 , 1.44439 , 0.0332558 , 0.669311
1.5445 , 1 , 2.00704 , 1.44434 , 0.033163 , 0.669395
1.548 , 1 , 2.00704 , 1.4443 , 0.0330947 , 0.669462
1.5515 , 1 , 2.00704 , 1.44426 , 0.0330506 , 0.669512
1.555 , 1 , 2.00704 , 1.44422 , 0.0330306 , 0.669545
1.5585 , 1 , 2.00704 , 1.44418 , 0.0330342 , 0.669562
1.562 , 1 , 2.00704 , 1.44413 , 0.0330611 , 0.669563
1.5655 , 1 , 2.00704 , 1.44409 , 0.0331111 , 0.669548
1.569 , 1 , 2.00704 , 1.44405 , 0.0331837 , 0.669517
1.5725 , 1 , 2.00704 , 1.44401 , 0.0332788 , 0.669471
1.576 , 1 , 2.00704 , 1.44397 , 0.0333959 , 0.669409
1.5795 , 1 , 2.00704 , 1.44392 , 0.0335347 , 0.669333
1.583 , 1 , 2.00704 , 1.44388 , 0.0336949 , 0.669241
1.5865 , 1 , 2.00704 , 1.44384 , 0.0338762 , 0.669136
1.59 , 1 , 2.00704 , 1.4438 , 0.0340782 , 0.669015
