n1, 1.5, n2, 1, n1 / n2, 1.5
Critical Angle (rad), 0.729728 , 0
Brewster Angle (rad), 0.588003 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
1.19381 , 1 , 0.987782 , 1 , 0.734299
1.20166 , 1 , 0.968157 , 1 , 0.716289
1.20951 , 1 , 0.948473 , 1 , 0.698478
1.21737 , 1 , 0.92873 , 1 , 0.680857
1.22522 , 1 , 0.908929 , 1 , 0.663419
1.23308 , 1 , 0.889073 , 1 , 0.646159
1.24093 , 1 , 0.869162 , 1 , 0.629068
1.24878 , 1 , 0.849197 , 1 , 0.61214
1.25664 , 1 , 0.82918 , 1 , 0.59537
1.26449 , 1 , 0.809111 , 1 , 0.57875
1.27235 , 1 , 0.788993 , 1 , 0.562276
1.2802 , 1 , 0.768826 , 1 , 0.545942
1.28805 , 1 , 0.748612 , 1 , 0.529742
1.29591 , 1 , 0.728351 , 1 , 0.51367
1.30376 , 1 , 0.708046 , 1 , 0.497723
1.31161 , 1 , 0.687697 , 1 , 0.481894
1.31947 , 1 , 0.667305 , 1 , 0.46618
1.32732 , 1 , 0.646872 , 1 , 0.450575
1.33518 , 1 , 0.6264 , 1 , 0.435075
1.34303 , 1 , 0.605888 , 1 , 0.419675
1.35088 , 1 , 0.58534 , 1 , 0.404371
1.35874 , 1 , 0.564755 , 1 , 0.38916
1.36659 , 1 , 0.544135 , 1 , 0.374036
1.37445 , 1 , 0.523482 , 1 , 0.358996
1.3823 , 1 , 0.502797 , 1 , 0.344036
1.39015 , 1 , 0.48208 , 1 , 0.329152
1.39801 , 1 , 0.461334 , 1 , 0.31434
1.40586 , 1 , 0.44056 , 1 , 0.299597
1.41372 , 1 , 0.419758 , 1 , 0.284919
1.42157 , 1 , 0.39893 , 1 , 0.270303
1.42942 , 1 , 0.378078 , 1 , 0.255745
1.43728 , 1 , 0.357202 , 1 , 0.241242
1.44513 , 1 , 0.336304 , 1 , 0.226791
1.45299 , 1 , 0.315386 , 1 , 0.212387
1.46084 , 1 , 0.294448 , 1 , 0.198028
1.46869 , 1 , 0.273492 , 1 , 0.183712
1.47655 , 1 , 0.252519 , 1 , 0.169433
1.4844 , 1 , 0.231531 , 1 , 0.15519
1.49226 , 1 , 0.210528 , 1 , 0.14098
1.50011 , 1 , 0.189512 , 1 , 0.126799
1.50796 , 1 , 0.168485 , 1 , 0.112644
1.51582 , 1 , 0.147447 , 1 , 0.0985129
1.52367 , 1 , 0.1264 , 1 , 0.084402
1.53153 , 1 , 0.105345 , 1 , 0.0703084
1.53938 , 1 , 0.0842839 , 1 , 0.0562294
1.54723 , 1 , 0.0632175 , 1 , 0.0421619
1.55509 , 1 , 0.0421472 , 1 , 0.0281031
1.56294 , 1 , 0.0210742 , 1 , 0.0140501
1.5708 , 1 , 1.50595e-14 , 1 , 1.00397e-14
1.57865 , 1 , 0.0210742 , 1 , 0.0140501
