n1, 1, n2, 1.5, n1 / n2, 0.666667
Critical Angle (rad), 1.5708 , 0
Brewster Angle (rad), 0.982794 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
0 , 0.2 , 0.8 , 0.2 , 0.8
0.00785398 , 0.200008 , 0.799992 , 0.199992 , 0.799995
0.015708 , 0.200033 , 0.799967 , 0.199967 , 0.799978
0.0235619 , 0.200074 , 0.799926 , 0.199926 , 0.799951
0.0314159 , 0.200132 , 0.799868 , 0.199868 , 0.799912
0.0392699 , 0.200206 , 0.799794 , 0.199794 , 0.799863
0.0471239 , 0.200296 , 0.799704 , 0.199704 , 0.799802
0.0549779 , 0.200403 , 0.799597 , 0.199596 , 0.799731
0.0628319 , 0.200527 , 0.799473 , 0.199473 , 0.799649
0.0706858 , 0.200667 , 0.799333 , 0.199332 , 0.799555
0.0785398 , 0.200824 , 0.799176 , 0.199175 , 0.79945
0.0863938 , 0.200998 , 0.799002 , 0.199002 , 0.799334
0.0942478 , 0.201188 , 0.798812 , 0.198811 , 0.799208
0.102102 , 0.201395 , 0.798605 , 0.198604 , 0.799069
0.109956 , 0.201619 , 0.798381 , 0.19838 , 0.79892
0.11781 , 0.20186 , 0.79814 , 0.198139 , 0.798759
0.125664 , 0.202118 , 0.797882 , 0.197881 , 0.798587
0.133518 , 0.202392 , 0.797608 , 0.197605 , 0.798404
0.141372 , 0.202684 , 0.797316 , 0.197313 , 0.798209
0.149226 , 0.202993 , 0.797007 , 0.197003 , 0.798002
0.15708 , 0.203319 , 0.796681 , 0.196676 , 0.797784
0.164934 , 0.203663 , 0.796337 , 0.196331 , 0.797554
0.172788 , 0.204024 , 0.795976 , 0.195969 , 0.797313
0.180642 , 0.204403 , 0.795597 , 0.195589 , 0.79706
0.188496 , 0.204799 , 0.795201 , 0.195192 , 0.796794
0.19635 , 0.205213 , 0.794787 , 0.194776 , 0.796517
0.204204 , 0.205644 , 0.794356 , 0.194342 , 0.796228
0.212058 , 0.206094 , 0.793906 , 0.19389 , 0.795927
0.219911 , 0.206562 , 0.793438 , 0.19342 , 0.795613
0.227765 , 0.207048 , 0.792952 , 0.192931 , 0.795287
0.235619 , 0.207553 , 0.792447 , 0.192424 , 0.794949
0.243473 , 0.208075 , 0.791925 , 0.191897 , 0.794598
0.251327 , 0.208617 , 0.791383 , 0.191352 , 0.794235
0.259181 , 0.209177 , 0.790823 , 0.190787 , 0.793858
0.267035 , 0.209757 , 0.790243 , 0.190204 , 0.793469
0.274889 , 0.210355 , 0.789645 , 0.1896 , 0.793067
0.282743 , 0.210973 , 0.789027 , 0.188977 , 0.792651
0.290597 , 0.21161 , 0.78839 , 0.188334 , 0.792223
0.298451 , 0.212266 , 0.787734 , 0.187671 , 0.79178
0.306305 , 0.212943 , 0.787057 , 0.186987 , 0.791325
0.314159 , 0.213639 , 0.786361 , 0.186283 , 0.790855
0.322013 , 0.214356 , 0.785644 , 0.185558 , 0.790372
0.329867 , 0.215093 , 0.784907 , 0.184812 , 0.789874
0.337721 , 0.21585 , 0.78415 , 0.184044 , 0.789363
0.345575 , 0.216629 , 0.783371 , 0.183255 , 0.788837
0.353429 , 0.217428 , 0.782572 , 0.182444 , 0.788296
0.361283 , 0.218249 , 0.781751 , 0.181611 , 0.787741
0.369137 , 0.219091 , 0.780909 , 0.180756 , 0.787171
0.376991 , 0.219954 , 0.780046 , 0.179878 , 0.786585
0.384845 , 0.22084 , 0.77916 , 0.178977 , 0.785985
0.392699 , 0.221748 , 0.778252 , 0.178053 , 0.785369
0.400553 , 0.222678 , 0.777322 , 0.177105 , 0.784737
0.408407 , 0.223631 , 0.776369 , 0.176134 , 0.784089
0.416261 , 0.224607 , 0.775393 , 0.175138 , 0.783425
0.424115 , 0.225607 , 0.774393 , 0.174117 , 0.782745
0.431969 , 0.22663 , 0.77337 , 0.173072 , 0.782048
0.439823 , 0.227676 , 0.772324 , 0.172001 , 0.781334
0.447677 , 0.228747 , 0.771253 , 0.170904 , 0.780603
0.455531 , 0.229842 , 0.770158 , 0.169782 , 0.779855
0.463385 , 0.230962 , 0.769038 , 0.168633 , 0.779089
0.471239 , 0.232107 , 0.767893 , 0.167457 , 0.778305
0.479093 , 0.233278 , 0.766722 , 0.166254 , 0.777503
0.486947 , 0.234474 , 0.765526 , 0.165023 , 0.776682
0.494801 , 0.235697 , 0.764303 , 0.163764 , 0.775843
0.502655 , 0.236946 , 0.763054 , 0.162477 , 0.774984
0.510509 , 0.238221 , 0.761779 , 0.16116 , 0.774107
0.518363 , 0.239524 , 0.760476 , 0.159814 , 0.773209
0.526217 , 0.240855 , 0.759145 , 0.158438 , 0.772292
0.534071 , 0.242213 , 0.757787 , 0.157031 , 0.771354
0.541925 , 0.2436 , 0.7564 , 0.155593 , 0.770395
0.549779 , 0.245016 , 0.754984 , 0.154124 , 0.769416
0.557633 , 0.246461 , 0.753539 , 0.152622 , 0.768415
0.565487 , 0.247935 , 0.752065 , 0.151088 , 0.767392
0.573341 , 0.24944 , 0.75056 , 0.14952 , 0.766347
0.581195 , 0.250975 , 0.749025 , 0.147919 , 0.765279
0.589049 , 0.252541 , 0.747459 , 0.146283 , 0.764189
0.596903 , 0.254139 , 0.745861 , 0.144612 , 0.763075
0.604757 , 0.255768 , 0.744232 , 0.142905 , 0.761937
0.612611 , 0.25743 , 0.74257 , 0.141162 , 0.760775
0.620465 , 0.259125 , 0.740875 , 0.139382 , 0.759588
0.628319 , 0.260853 , 0.739147 , 0.137564 , 0.758376
0.636173 , 0.262615 , 0.737385 , 0.135707 , 0.757138
0.644026 , 0.264412 , 0.735588 , 0.133811 , 0.755874
0.65188 , 0.266244 , 0.733756 , 0.131876 , 0.754584
0.659734 , 0.268111 , 0.731889 , 0.129899 , 0.753266
0.667588 , 0.270015 , 0.729985 , 0.127881 , 0.751921
0.675442 , 0.271955 , 0.728045 , 0.125821 , 0.750547
0.683296 , 0.273933 , 0.726067 , 0.123717 , 0.749145
0.69115 , 0.275949 , 0.724051 , 0.121569 , 0.747713
0.699004 , 0.278003 , 0.721997 , 0.119377 , 0.746251
0.706858 , 0.280096 , 0.719904 , 0.117138 , 0.744759
0.714712 , 0.28223 , 0.71777 , 0.114853 , 0.743235
0.722566 , 0.284404 , 0.715596 , 0.11252 , 0.74168
0.73042 , 0.286619 , 0.713381 , 0.110138 , 0.740092
0.738274 , 0.288876 , 0.711124 , 0.107707 , 0.738471
0.746128 , 0.291175 , 0.708825 , 0.105224 , 0.736816
0.753982 , 0.293518 , 0.706482 , 0.10269 , 0.735127
0.761836 , 0.295905 , 0.704095 , 0.100103 , 0.733402
0.76969 , 0.298336 , 0.701664 , 0.0974623 , 0.731642
0.777544 , 0.300814 , 0.699186 , 0.094766 , 0.729844
0.785398 , 0.303337 , 0.696663 , 0.0920134 , 0.728009
0.793252 , 0.305908 , 0.694092 , 0.0892031 , 0.726135
0.801106 , 0.308526 , 0.691474 , 0.086334 , 0.724223
0.80896 , 0.311193 , 0.688807 , 0.0834047 , 0.72227
0.816814 , 0.31391 , 0.68609 , 0.080414 , 0.720276
0.824668 , 0.316677 , 0.683323 , 0.0773604 , 0.71824
0.832522 , 0.319496 , 0.680504 , 0.0742427 , 0.716162
0.840376 , 0.322367 , 0.677633 , 0.0710592 , 0.714039
0.84823 , 0.32529 , 0.67471 , 0.0678087 , 0.711872
0.856084 , 0.328268 , 0.671732 , 0.0644895 , 0.70966
0.863938 , 0.331301 , 0.668699 , 0.0611 , 0.7074
0.871792 , 0.33439 , 0.66561 , 0.0576388 , 0.705093
0.879646 , 0.337535 , 0.662465 , 0.0541041 , 0.702736
0.8875 , 0.340739 , 0.659261 , 0.0504943 , 0.70033
0.895354 , 0.344001 , 0.655999 , 0.0468076 , 0.697872
0.903208 , 0.347323 , 0.652677 , 0.0430422 , 0.695361
0.911062 , 0.350706 , 0.649294 , 0.0391963 , 0.692798
0.918916 , 0.354151 , 0.645849 , 0.035268 , 0.690179
0.92677 , 0.35766 , 0.64234 , 0.0312553 , 0.687504
0.934624 , 0.361232 , 0.638768 , 0.0271563 , 0.684771
0.942478 , 0.36487 , 0.63513 , 0.0229688 , 0.681979
0.950332 , 0.368574 , 0.631426 , 0.0186908 , 0.679127
0.958186 , 0.372346 , 0.627654 , 0.01432 , 0.676213
0.96604 , 0.376187 , 0.623813 , 0.00985432 , 0.673236
0.973894 , 0.380098 , 0.619902 , 0.00529131 , 0.670194
0.981748 , 0.38408 , 0.61592 , 0.000628641 , 0.667086
0.989602 , 0.388134 , 0.611866 , 0.00413614 , 0.663909
0.997456 , 0.392262 , 0.607738 , 0.00900556 , 0.660663
1.00531 , 0.396465 , 0.603535 , 0.0139822 , 0.657345
1.01316 , 0.400745 , 0.599255 , 0.0190687 , 0.653954
1.02102 , 0.405102 , 0.594898 , 0.0242679 , 0.650488
1.02887 , 0.409538 , 0.590462 , 0.0295826 , 0.646945
1.03673 , 0.414055 , 0.585945 , 0.0350157 , 0.643323
1.04458 , 0.418653 , 0.581347 , 0.0405702 , 0.63962
1.05243 , 0.423334 , 0.576666 , 0.0462492 , 0.635834
1.06029 , 0.4281 , 0.5719 , 0.0520559 , 0.631963
1.06814 , 0.432952 , 0.567048 , 0.0579937 , 0.628004
1.076 , 0.437891 , 0.562109 , 0.0640657 , 0.623956
