n1, 1, n2, 1.5, n1 / n2, 0.666667
Critical Angle (rad), 1.5708 , 0
Brewster Angle (rad), 0.982794 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
1.15454 , 0 , 0 , 0 , 0
1.16239 , 0 , 0 , 0 , 0
1.17024 , 0 , 0 , 0 , 0
1.1781 , 0 , 0 , 0 , 0
1.18595 , 0 , 0 , 0 , 0
1.19381 , 0 , 0 , 0 , 0
1.20166 , 0 , 0 , 0 , 0
1.20951 , 0 , 0 , 0 , 0
1.21737 , 0 , 0 , 0 , 0
1.22522 , 0 , 0 , 0 , 0
1.23308 , 0 , 0 , 0 , 0
1.24093 , 0 , 0 , 0 , 0
1.24878 , 0 , 0 , 0 , 0
1.25664 , 0 , 0 , 0 , 0
1.26449 , 0 , 0 , 0 , 0
1.27235 , 0 , 0 , 0 , 0
1.2802 , 0 , 0 , 0 , 0
1.28805 , 0 , 0 , 0 , 0
1.29591 , 0 , 0 , 0 , 0
1.30376 , 0 , 0 , 0 , 0
1.31161 , 0 , 0 , 0 , 0
1.31947 , 0 , 0 , 0 , 0
1.32732 , 0 , 0 , 0 , 0
1.33518 , 0 , 0 , 0 , 0
1.34303 , 0 , 0 , 0 , 0
1.35088 , 0 , 0 , 0 , 0
1.35874 , 0 , 0 , 0 , 0
1.36659 , 0 , 0 , 0 , 0
1.37445 , 0 , 0 , 0 , 0
1.3823 , 0 , 0 , 0 , 0
1.39015 , 0 , 0 , 0 , 0
1.39801 , 0 , 0 , 0 , 0
1.40586 , 0 , 0 , 0 , 0
1.41372 , 0 , 0 , 0 , 0
1.42157 , 0 , 0 , 0 , 0
1.42942 , 0 , 0 , 0 , 0
1.43728 , 0 , 0 , 0 , 0
1.44513 , 0 , 0 , 0 , 0
1.45299 , 0 , 0 , 0 , 0
1.46084 , 0 , 0 , 0 , 0
1.46869 , 0 , 0 , 0 , 0
1.47655 , 0 , 0 , 0 , 0
1.4844 , 0 , 0 , 0 , 0
1.49226 , 0 , 0 , 0 , 0
1.50011 , 0 , 0 , 0 , 0
1.50796 , 0 , 0 , 0 , 0
1.51582 , 0 , 0 , 0 , 0
1.52367 , 0 , 0 , 0 , 0
1.53153 , 0 , 0 , 0 , 0
1.53938 , 0 , 0 , 0 , 0
1.54723 , 0 , 0 , 0 , 0
1.55509 , 0 , 0 , 0 , 0
1.56294 , 0 , 0 , 0 , 0
1.5708 , 0 , 0 , 0 , 0
1.57865 , 0 , 0 , 0 , 0
