n1, 1.5, n2, 1, n1 / n2, 1.5
Critical Angle (rad), 0.729728 , 0
Brewster Angle (rad), 0.588003 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
0.997456 , -0.998242 , -0.998242 , -0.771611 , -1.15742
1.00531 , -0.999435 , -0.999435 , -0.758935 , -1.1384
1.01316 , -0.999967 , -0.999967 , -0.746299 , -1.11945
1.02102 , -0.999852 , -0.999852 , -0.73371 , -1.10057
1.02887 , -0.999106 , -0.999106 , -0.721175 , -1.08176
1.03673 , -0.997742 , -0.997742 , -0.7087 , -1.06305
1.04458 , -0.995775 , -0.995775 , -0.696288 , -1.04443
1.05243 , -0.993217 , -0.993217 , -0.683943 , -1.02591
1.06029 , -0.990081 , -0.990081 , -0.671669 , -1.0075
1.06814 , -0.986379 , -0.986379 , -0.659468 , -0.989203
1.076 , -0.982123 , -0.982123 , -0.647342 , -0.971013
1.08385 , -0.977324 , -0.977324 , -0.635292 , -0.952938
1.0917 , -0.971993 , -0.971993 , -0.623319 , -0.934978
1.09956 , -0.966141 , -0.966141 , -0.611423 , -0.917135
1.10741 , -0.959779 , -0.959779 , -0.599606 , -0.899409
1.11527 , -0.952917 , -0.952917 , -0.587867 , -0.8818
1.12312 , -0.945564 , -0.945564 , -0.576205 , -0.864308
1.13097 , -0.937731 , -0.937731 , -0.564621 , -0.846932
1.13883 , -0.929427 , -0.929427 , -0.553114 , -0.829671
1.14668 , -0.920662 , -0.920662 , -0.541683 , -0.812525
1.15454 , -0.911445 , -0.911445 , -0.530327 , -0.795491
1.16239 , -0.901785 , -0.901785 , -0.519046 , -0.778569
1.17024 , -0.891692 , -0.891692 , -0.507838 , -0.761757
1.1781 , -0.881174 , -0.881174 , -0.496702 , -0.745053
1.18595 , -0.87024 , -0.87024 , -0.485637 , -0.728456
1.19381 , -0.8589 , -0.8589 , -0.474642 , -0.711963
1.20166 , -0.847161 , -0.847161 , -0.463715 , -0.695573
1.20951 , -0.835033 , -0.835033 , -0.452855 , -0.679282
1.21737 , -0.822524 , -0.822524 , -0.44206 , -0.66309
1.22522 , -0.809642 , -0.809642 , -0.43133 , -0.646995
1.23308 , -0.796397 , -0.796397 , -0.420662 , -0.630993
1.24093 , -0.782796 , -0.782796 , -0.410055 , -0.615082
1.24878 , -0.768847 , -0.768847 , -0.399508 , -0.599261
1.25664 , -0.75456 , -0.75456 , -0.389018 , -0.583527
1.26449 , -0.739943 , -0.739943 , -0.378586 , -0.567878
1.27235 , -0.725004 , -0.725004 , -0.368208 , -0.552312
1.2802 , -0.70975 , -0.70975 , -0.357884 , -0.536826
1.28805 , -0.694192 , -0.694192 , -0.347612 , -0.521417
1.29591 , -0.678336 , -0.678336 , -0.33739 , -0.506084
1.30376 , -0.66219 , -0.66219 , -0.327217 , -0.490825
1.31161 , -0.645764 , -0.645764 , -0.317091 , -0.475637
1.31947 , -0.629066 , -0.629066 , -0.307011 , -0.460517
1.32732 , -0.612103 , -0.612103 , -0.296976 , -0.445464
1.33518 , -0.594884 , -0.594884 , -0.286983 , -0.430475
1.34303 , -0.577417 , -0.577417 , -0.277032 , -0.415548
1.35088 , -0.55971 , -0.55971 , -0.267121 , -0.400681
1.35874 , -0.541771 , -0.541771 , -0.257248 , -0.385871
1.36659 , -0.52361 , -0.52361 , -0.247411 , -0.371117
1.37445 , -0.505233 , -0.505233 , -0.237611 , -0.356416
1.3823 , -0.486649 , -0.486649 , -0.227844 , -0.341766
1.39015 , -0.467866 , -0.467866 , -0.21811 , -0.327165
1.39801 , -0.448893 , -0.448893 , -0.208406 , -0.31261
1.40586 , -0.429738 , -0.429738 , -0.198733 , -0.298099
1.41372 , -0.410409 , -0.410409 , -0.189088 , -0.283632
1.42157 , -0.390913 , -0.390913 , -0.179469 , -0.269204
1.42942 , -0.371261 , -0.371261 , -0.169876 , -0.254814
1.43728 , -0.351459 , -0.351459 , -0.160307 , -0.240461
1.44513 , -0.331516 , -0.331516 , -0.150761 , -0.226142
1.45299 , -0.31144 , -0.31144 , -0.141236 , -0.211854
1.46084 , -0.29124 , -0.29124 , -0.131731 , -0.197597
1.46869 , -0.270923 , -0.270923 , -0.122245 , -0.183367
1.47655 , -0.250498 , -0.250498 , -0.112775 , -0.169163
1.4844 , -0.229974 , -0.229974 , -0.103322 , -0.154983
1.49226 , -0.209358 , -0.209358 , -0.0938829 , -0.140824
1.50011 , -0.188659 , -0.188659 , -0.0844571 , -0.126686
1.50796 , -0.167886 , -0.167886 , -0.0750432 , -0.112565
1.51582 , -0.147046 , -0.147046 , -0.0656399 , -0.0984598
1.52367 , -0.126147 , -0.126147 , -0.0562457 , -0.0843685
1.53153 , -0.105199 , -0.105199 , -0.0468594 , -0.0702891
1.53938 , -0.084209 , -0.084209 , -0.0374797 , -0.0562195
1.54723 , -0.0631859 , -0.0631859 , -0.0281052 , -0.0421577
1.55509 , -0.0421378 , -0.0421378 , -0.0187346 , -0.0281019
1.56294 , -0.0210731 , -0.0210731 , -0.00936664 , -0.01405
1.5708 , -1.50595e-14 , -1.50595e-14 , -6.69311e-15 , -1.00397e-14
1.57865 , 0.0210731 , 0.0210731 , 0.00936664 , 0.01405
